kategori_wilayah,kategori_membership,bergabung_melalui_referral,jenis_penawaran_preferensi,medium_operasi,rata_rata_waktu_dihabiskan,rata_rata_nilai_transaksi,rata_rata_hari_login,poin_di_dompet,menggunakan_diskon_khusus,preferensi_aplikasi_penawaran,umpan_balik
Unknown,No Membership,Yes,Without Offers,Unknown,801.13375,38604.69,10.0,627.48,Yes,Yes,Poor Website
Unknown,Basic Membership,Yes,Without Offers,Desktop,338.15,7665.66,17.0,575.97,Yes,No,Poor Customer Service
City,Silver Membership,Unknown,Credit/Debit Card Offers,Unknown,235.14,37671.69,5.0,767.93,Yes,No,Too many ads
Village,No Membership,No,Credit/Debit Card Offers,Desktop,56.67,15678.14,11.0,590.22,No,Yes,Too many ads
Town,Silver Membership,Unknown,Gift Vouchers/Coupons,Smartphone,153.99,8422.68,0.0,722.04,Yes,No,Poor Product Quality
Town,Premium Membership,No,Credit/Debit Card Offers,Unknown,801.13375,29664.01,28.0,782.49,No,Yes,Poor Product Quality
Unknown,Gold Membership,Yes,Gift Vouchers/Coupons,Smartphone,416.3,13160.39,24.0,712.94,Yes,No,No reason specified
City,No Membership,No,Credit/Debit Card Offers,Smartphone,34.07,9151.14,29.0,655.43,Yes,No,No reason specified
Town,Platinum Membership,Yes,Without Offers,Unknown,650.12,80871.465,11.0,299.8337499999999,Yes,Yes,Products always in Stock
Town,Basic Membership,Yes,Credit/Debit Card Offers,Desktop,106.23,28232.59,16.0,984.9339203,No,Yes,Too many ads
Unknown,Basic Membership,Yes,Gift Vouchers/Coupons,Unknown,39.85,24087.96,10.0,656.38,Yes,No,No reason specified
Town,Platinum Membership,No,Gift Vouchers/Coupons,Desktop,74.38,23695.52,0.0,832.42,Yes,No,Reasonable Price
Village,Silver Membership,Unknown,Without Offers,Smartphone,160.27,49607.97,20.0,299.8337499999999,No,Yes,Too many ads
Unknown,No Membership,Yes,Gift Vouchers/Coupons,Desktop,142.85,9854.95,15.0,1031.30375,No,Yes,Poor Website
City,Gold Membership,No,Without Offers,Desktop,31.39,76602.41,8.0,763.82,Yes,No,Reasonable Price
City,Gold Membership,No,Without Offers,Desktop,129.4,80871.465,13.0,705.43,Yes,No,Quality Customer Care
Unknown,Silver Membership,Unknown,Credit/Debit Card Offers,Smartphone,92.07,21395.38,26.0,667.71,No,Yes,Too many ads
City,Gold Membership,Yes,Credit/Debit Card Offers,Desktop,34.76,34334.05,8.0,299.8337499999999,No,Yes,Reasonable Price
Village,Premium Membership,Yes,Gift Vouchers/Coupons,Desktop,35.65,35325.17,18.0,724.71,No,Yes,Too many ads
City,No Membership,Unknown,Without Offers,Desktop,119.12,4384.76,8.0,299.8337499999999,Yes,No,Too many ads
City,Platinum Membership,No,Without Offers,Desktop,0.0,49231.43,15.0,738.64,No,Yes,Too many ads
Unknown,Premium Membership,Yes,Credit/Debit Card Offers,Smartphone,595.4,39665.83,14.0,713.6,Yes,Yes,Too many ads
City,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,156.07,32463.61,16.0,639.82,Yes,No,Poor Product Quality
Town,Basic Membership,Yes,Without Offers,Desktop,76.55,11869.96,0.0,545.88,Yes,No,No reason specified
Town,Silver Membership,No,Without Offers,Smartphone,232.69,19060.98,16.0,707.49,Yes,No,Poor Website
Village,Gold Membership,No,Gift Vouchers/Coupons,Unknown,71.56,29493.13,5.0,863.6515881,Yes,No,Too many ads
Town,Silver Membership,Yes,Credit/Debit Card Offers,Unknown,615.63,7804.47,0.0,455.5532064,Yes,No,Poor Customer Service
Town,Platinum Membership,Yes,Credit/Debit Card Offers,Both,801.13375,36878.34,28.0,757.78,Yes,Yes,Poor Website
Unknown,No Membership,No,Without Offers,Unknown,305.02,49000.77,28.0,690.07,No,Yes,No reason specified
